original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,suburb,postcode,state_code,district,city,county,state,country,country_code,attribution,attribution_license,attribution_url
"55,399614","-21,289826",0,"15 Avenue De Toulouse, 97450 Saint-Louis, France",-21.289826,55.399614,"55,399614-21,289826",,15,Avenue De Toulouse,,97450,,,Saint-Louis,,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,477400422","-20,90270279",3.93192465822627,"Centre de dialyse Sainte-Clotilde, 127 Route du Bois de Nèfles, 97400 Saint-Denis, France",-20.9027569,55.4774054876534,"55,477400422-20,90270279",Centre de dialyse Sainte-Clotilde,127,Route du Bois de Nèfles,Le Butor,97400,,,Saint-Denis,,Réunion,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"55,2958462","-20,9361799",16.6116462715615,"14 Rue Jules Ferry, 97420 Le Port, France",-20.9360609,55.2959429,"55,2958462-20,9361799",,14,Rue Jules Ferry,,97420,,,Le Port,,Réunion,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"55,306609","-20,949922",14.8270809628961,"16 Rue Simon Pernic, 97420 Le Port, France",-20.949943,55.306468,"55,306609-20,949922",,16,Rue Simon Pernic,,97420,,,Le Port,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,226304","-21,052088",3.78205667890243,"9 Rue Saint Louis, 97460 Saint-Gilles-les-Bains, France",-21.052054,55.226305,"55,226304-21,052088",,9,Rue Saint Louis,,97460,,,Saint-Gilles-les-Bains,,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,4286401","-21,3004615",0,"Chemin Guillaume, Saint-Pierre, France",-21.3004615,55.4286401,"55,4286401-21,3004615",Chemin Guillaume,,Chemin Guillaume,,BP 089 - CEDEX 02 97899,,,Saint-Pierre,,Réunion,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"55,480663","-21,133298",1.84982838113003,"1 Rue Fleurs Jaunes, 97413 Cilaos, France",-21.133307,55.480648,"55,480663-21,133298",,1,Rue Fleurs Jaunes,Bras-Sec,97413,,,Cilaos,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,690947","-21,080499",12.9818002510671,"223 Route Nationale 3, 97470 Saint-Benoît, France",-21.080545,55.690832,"55,690947-21,080499",,223,Route Nationale 3,,97470,,,Saint-Benoît,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,611583","-21,377189",0,"École primaire du Butor, Rue Augustin Mondon, 97480 Saint-Joseph, France",-21.37734795,55.6120262207267,"55,611583-21,377189",École primaire du Butor,,Rue Augustin Mondon,,97480,,,Saint-Joseph,,Réunion,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"55,298382299","-20,9880883",0.304466357936626,"Bureau de Poste de Savanna, 97460 Reunion, France",-20.98809,55.29838,"55,298382299-20,9880883",Bureau de Poste de Savanna,,,,97460,,,,,Reunion,France,fr,,CC BY 4.0,https://www.geonames.org/datasources/
"55,494488","-21,343363",1.1253783945398,"AURAR II, Rue de Roche, 97410 Saint-Pierre, France",-21.3431851,55.494632672744,"55,494488-21,343363",AURAR II,,Rue de Roche,,97410,,,Saint-Pierre,,Réunion,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"55,327459","-20,947858",8.82971847125944,"39 Rue De Hanoï, 97419 La Possession, France",-20.947837,55.327377,"55,327459-20,947858",,39,Rue De Hanoï,Bœuf Mort,97419,,,La Possession,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,715257","-21,04474",0.103778402949348,"49 Rue Sarda Garriga, 97470 Saint-Benoît, France",-21.04474,55.715256,"55,715257-21,04474",,49,Rue Sarda Garriga,,97470,,,Saint-Benoît,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,533448","-20,897183",4.36760244579091,"31 Rue Andre Lardy, 97438 Sainte-Marie, France",-20.897144,55.533443,"55,533448-20,897183",,31,Rue Andre Lardy,,97438,,,Sainte-Marie,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,4272","-21,30047",43.7027364572922,"Clinique les Flamboyants Sud, 40 Chemin Cachalot, 97410 Reunion, France",-21.300863,55.427195,"55,4272-21,30047",Clinique les Flamboyants Sud,40,Chemin Cachalot,,97410,,,,,Reunion,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-2,037808519","48,4625081",0,"Immeuble Fontaine des Eaux, Promenade de la Fontaine des Eaux, 22100 Dinan, France",48.4625081,-2.03780851982625,"-2,03780851948,4625081",Immeuble Fontaine des Eaux,,Promenade de la Fontaine des Eaux,,22100,,Dinan,Dinan,Côtes-d'Armor,Brittany,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"55,302594","-20,9418495",6.11080590190196,"31 Avenue Lenine, 97420 Le Port, France",-20.941804,55.302627,"55,302594-20,9418495",,31,Avenue Lenine,,97420,,,Le Port,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,45042","-20,888125",7.90493599126617,"60 Rue Bertin, 97400 Saint-Denis, France",-20.888183,55.450464,"55,45042-20,888125",,60,Rue Bertin,,97400,,,Saint-Denis,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,295732699","-20,9360195",21.6312919565403,"11 Rue Jules Ferry, 97420 Le Port, France",-20.9360601,55.295529,"55,295732699-20,9360195",,11,Rue Jules Ferry,,97420,,,Le Port,,Réunion,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"55,507784","-21,274683",18.3451946078043,"100 Rue De France, 97430 Le Tampon, France",-21.274571,55.507914,"55,507784-21,274683",,100,Rue De France,,97430,,,Le Tampon,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,299876","-20,9431586",6.52418715197314,"Collège de l'Oasis, Avenue Lénine, 97420 Le Port, France",-20.9423958,55.2993302297788,"55,299876-20,9431586",Collège de l'Oasis,,Avenue Lénine,,97420,,,Le Port,,Réunion,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"55,478248699","-20,9037465",3.9131775340368,"Route du Bois de Nèfles, 97400 Saint-Denis, France",-20.9031661,55.4773246,"55,478248699-20,9037465",Route du Bois de Nèfles,,Route du Bois de Nèfles,Le Butor,97400,,,Saint-Denis,,Réunion,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"55,267300799","-21,0471707",5.04562976518119,"22 Rue Joseph Hubert, 97435 Saint-Paul, France",-21.047151,55.267257,"55,267300799-21,0471707",,22,Rue Joseph Hubert,,97435,,,Saint-Paul,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,506455","-21,262743",0,"1 Rue Du Docteur Charriéres, 97430 Reunion, France",-21.262743,55.506455,"55,506455-21,262743",,1,Rue Du Docteur Charriéres,,97430,,,,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,295055","-20,9456859",9.10746914651807,"8 Allée Zimmermann, 97420 Le Port, France",-20.945604,55.295056,"55,295055-20,9456859",,8,Allée Zimmermann,,97420,,,Le Port,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,295846","-20,939191",8.64683128384405,"14 Rue Joseph Say, 97420 Le Port, France",-20.939209,55.295765,"55,295846-20,939191",,14,Rue Joseph Say,,97420,,,Le Port,,Reunion,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,304953","-20,946216",0,"Clinique des Flamboyants, Rue Simon Pernic, 97420 Le Port, France",-20.9460093,55.3051556745043,"55,304953-20,946216",Clinique des Flamboyants,,Rue Simon Pernic,,97420,,,Le Port,,Réunion,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"55,478546199","-20,9054389",3.06239651236783,"Route du Bois de Nèfles, 97400 Saint-Denis, France",-20.9046908,55.4784874,"55,478546199-20,9054389",Route du Bois de Nèfles,,Route du Bois de Nèfles,Le Butor,97400,,,Saint-Denis,,Réunion,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"45,227417","-12,778325",0,"Centre Hospitalier de Mayotte, Rue de l'Hôpital, 97600 Mamoudzou, France",-12.77827475,45.2273161,"45,227417-12,778325",Centre Hospitalier de Mayotte,,Rue de l'Hôpital,Sarahangue,97600,YT,,Mamoudzou,,Mayotte,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"45,2298742","-12,7798002",10.9361959861345,"Pharmacie du Centre, 5 Rue de l'Hôpital, 97600 Mamoudzou, France",-12.77971,45.229834,"45,2298742-12,7798002",Pharmacie du Centre,5,Rue de l'Hôpital,Sarahangue,97600,YT,,Mamoudzou,,Mayotte,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"45,2278","-12,7806",4.98207562239156,"Rue de La Pompé, 97600 Mamoudzou, France",-12.780642,45.227784,"45,2278-12,7806",,,Rue de La Pompé,,97600,,,Mamoudzou,,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"45,2279908","-12,7805856",9.59261828990026,"30 Rue Pasky Daka, 97600 Mamoudzou, France",-12.780622,45.228071,"45,2279908-12,7805856",,30,Rue Pasky Daka,Sarahangue,97600,YT,,Mamoudzou,,Mayotte,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"55,4785503","-20,9054109",3.11379345108791,"Route du Bois de Nèfles, 97400 Saint-Denis, France",-20.9046908,55.4784874,"55,4785503-20,9054109",Route du Bois de Nèfles,,Route du Bois de Nèfles,Le Butor,97400,,,Saint-Denis,,Réunion,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"45,1495113","-12,9356731",0,"École Primaire de Chirongui, Rue de l'Hôtel de Ville, 97620 Mramadoudou, France",-12.9359132,45.1495400197701,"45,1495113-12,9356731",École Primaire de Chirongui,,Rue de l'Hôtel de Ville,,97620,YT,,Mramadoudou,,Mayotte,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
