unit,med_spec,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 
NR,GEN,NO	5418.00 	5310.00 	5162.00 	4976.00 	4881.00 	4702.00 	4592 b	4595.00 	4437.00 	4317.00 	4140.00 	4039.00 	3877 b	3889 b	3819.00 	3753.00 	3597.00 	3517.00 	3184.00 	3275 b	: 	: 	: 	2352.00 	: 	: 	: 	: 	1621.00 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,PL	: 	: 	: 	: 	15908.00 	16052.00 	14618.00 	13744.00 	12846.00 	12645.00 	14525.00 	17484.00 	16937.00 	17092.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,PT	: 	30098.00 	29079.00 	27664.00 	27076.00 	26100.00 	24940.00 	23748.00 	22744.00 	22125.00 	21917.00 	21170.00 	20221.00 	19538.00 	18802.00 	18145.00 	17713.00 	17162.00 	16792.00 	16440.00 	16184.00 	15722.00 	15509.00 	15080.00 	14928.00 	14969.00 	15132.00 	16183.00 	16886.00 	19679.00 	19865.00 	19876.00 	19838.00 	19369.00 	19364.00 	18776.00 	17997.00 
NR,GEN,RO	: 	15140.00 	15092.00 	14891.00 	15020.00 	15211.00 	15270.00 	15740.00 	15923.00 	16741.00 	17718.00 	18210 b	17830.00 	18567 e	17093 e	17765 b	14570 b	12102.00 	13591.00 	15080.00 	16816.00 	17800.00 	18709.00 	18334.00 	17578.00 	16821.00 	16885.00 	17014.00 	17153.00 	17147.00 	16793.00 	16066.00 	15339.00 	14310.00 	14599.00 	13235.00 	: 
NR,GEN,RS	6814.00 	5636 b	: 	6191.00 	6084.00 	6061 b	6239.00 	6440.00 	6480.00 	6495.00 	6730.00 	7031.00 	6916.00 	6972.00 	6552.00 	6224.00 	5941.00 	5923.00 	5473.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,SE	: 	: 	6380.00 	6483.00 	6411.00 	6385.00 	6345.00 	6262.00 	6191.00 	6097.00 	5963.00 	5897.00 	5875.00 	5742.00 	5662.00 	5508.00 	5336.00 	5188.00 	5098.00 	4979.00 	4853.00 	4668.00 	4575.00 	4522.00 	4387.00 	4276.00 	4165.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,SI	: 	1450.00 	1414.00 	1405.00 	1400.00 	1405.00 	1364.00 	1284.00 	1204.00 	1127.00 	1085.00 	1044.00 	1017.00 	998.00 	999.00 	968.00 	968.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,TR	: 	56108.00 	52280.00 	48688 b	47999.00 	46107.00 	44646.00 	41542.00 	41040.00 	41401.00 	41840.00 	41077.00 	37980.00 	37600.00 	36316.00 	35143 b	33093.00 	31109.00 	30452.00 	30290.00 	29330.00 	27714 b	46153.00 	44064.00 	42072.00 	40873.00 	40885.00 	40162.00 	36568.00 	31398.00 	28148.00 	25739.00 	22958.00 	20184.00 	17418.00 	16419.00 	15549.00 
NR,GEN,UK	: 	: 	51096.00 	49569.00 	49824.00 	50080.00 	50169.00 b	50595.00 	49875.00 	50008.00 	49838.00 	48641.00 	49437.00 	46850.00 	45362.00 	44571.00 	44199.00 	42925.00 	41647.00 	40261.00 	39687.00 	39098.00 	37061.00 	36715.00 	36303.00 	35922.00 	35661.00 	35474.00 	35155.00 	34837.00 	34442.00 	34051.00 	33308.00 	32890.00 	32432.00 	32820.00 	32406.00 
NR,GEN_OTH,AT	6576.00 	6606.00 	6831.00 	: 	7108.00 	7166 b	7666.00 	7516.00 	7401.00 	7107.00 	6869.00 	6712.00 	6498.00 	6346.00 	6374.00 	6147.00 	5799.00 	5527.00 	5367.00 	5335.00 	5357.00 	5145.00 	5062.00 	5184.00 	5027.00 	4860.00 	4741 b	3827.00 	3631.00 	3497.00 	3168.00 	2862.00 	2559.00 	2390.00 	2212.00 	: 	1845.00 
NR,GEN_OTH,BE	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,BG	: 	159.00 	136.00 	123.00 	119.00 	266.00 	84 b	222.00 	209.00 	197.00 	228.00 	253 b	249.00 	257.00 	446.00 	394.00 	399.00 	324.00 	209.00 	467.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,CY	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,CZ	: 	0.00 	0.00 	: 	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	0.00 	: 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,DE	: 	25623.00 	23376.00 	21960.00 	21542.00 	21024.00 	20480.00 	22850.00 	21647.00 	18651.00 	18350.00 	17282.00 	14739.00 	12592.00 	10316.00 	10374.00 	10487.00 	10494.00 	12649.00 	12966.00 	13368.00 	13890.00 	12187.00 	10264.00 	10114.00 	10047.00 	9869.00 	9629.00 	9360.00 	9015.00 	8721.00 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,EE	: 	138.00 	141.00 	133.00 	122.00 	101.00 	106.00 	117.00 	120 b	104.00 	132.00 	122.00 	145.00 	187.00 	202.00 	167.00 	152.00 	164.00 	186.00 	173.00 	331.00 	608.00 	561.00 	480.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,EL	: 	: 	1031.00 	748.00 	1004.00 	990.00 	971.00 	1015 b	933.00 	1073.00 	1143.00 	1315.00 	1183.00 	1188.00 	1795.00 	1208.00 	1322.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,ES	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,FR	: 	36476.00 	35949.00 	35398.00 	34755.00 	33980.00 	32981.00 	32063.00 	31040.00 	29892.00 	28597.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,HR	: 	799.00 	1051.00 	1029.00 	1016.00 	1104.00 	919.00 	1076.00 	1049.00 	1105.00 	1053.00 	1122.00 	827.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,HU	: 	2684 b	2809.00 	2706.00 	2481.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,IE	7443 b	5046.00 	4981.00 	4884.00 	4821.00 	4909.00 	5087.00 	4629 b	7420.00 	7970.00 	8057 b	9941.00 	9701 b	12105.00 	11409.00 	10548.00 	10019.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,IT	8329 p	8647.00 	10127.00 	10011.00 	9960.00 	9784.00 	8955.00 	8526.00 	8322.00 	8557.00 	7795 e	7066 e	6448 e	6126 e	5713 e	5208 e	4739 e	4373 e	3319 e	2652 e	1876 e	1082 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,LI	18.00 	26.00 	24.00 	19.00 	21.00 	13.00 	12.00 	11.00 	10.00 	10.00 	11.00 	11 b	0 d	0 d	0 d	0 d	0 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,LT	: 	239.00 	333.00 	324.00 	303.00 	248.00 	181.00 	169.00 	157.00 	145.00 	102 b	90.00 	84.00 	63.00 	188.00 	139.00 	101.00 	99.00 	89.00 	86.00 	102.00 	79.00 	59.00 	64.00 	36.00 	39.00 	41.00 	10.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,LU	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,LV	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,ME	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,MT	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,NL	: 	15106.00 	14507.00 	13511.00 	12837.00 	12529.00 	12280.00 	11723.00 	11306.00 	11243.00 	11079.00 	8715.00 	8972.00 	8980.00 	8434.00 	8619.00 	8374.00 	9122.00 	9117.00 	8928.00 	9058.00 	8763.00 	8992.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,NO	719.00 	645.00 	575.00 	474.00 	448.00 	397.00 	376 b	512.00 	472.00 	426.00 	430.00 	408.00 	337 b	363.00 	361.00 	368.00 	360.00 	295.00 	389.00 	321.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,PL	: 	: 	: 	: 	7490.00 	7665.00 	6346.00 	5305.00 	4576.00 	4204.00 	6752.00 	9566.00 	9099.00 	8594.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,PT	: 	1854.00 	1928.00 	2541.00 	2828.00 	2636.00 	2422.00 	1822.00 	1843.00 	1856.00 	1823.00 	1634.00 	1594.00 	1515.00 	1594.00 	1835.00 	1707.00 	1888.00 	2070.00 	2540.00 	1817.00 	1857.00 	2036 b	10677.00 	10578.00 	10701.00 	11100.00 	13191.00 	14214.00 	17618.00 	19591.00 	19601.00 	19574.00 	19118.00 	19114.00 	18540.00 	17780.00 
NR,GEN_OTH,RO	: 	2728.00 	2908.00 	2865.00 	2836.00 	2877.00 	2937.00 	3085.00 	3188.00 	2975.00 	3103.00 	3701 b	5095.00 	4413.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,RS	1893.00 	1119 b	: 	1352.00 	1233.00 	1151 b	1252.00 	1397.00 	1361.00 	1359.00 	1448.00 	1608.00 	1483.00 	1497.00 	1259.00 	1025.00 	820.00 	851.00 	780.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,SE	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_OTH,SI	: 	155.00 	157.00 	130.00 	163.00 	220.00 	232.00 	220.00 	179.00 	168.00 	157.00 	146.00 	160.00 	166.00 	179.00 	197.00 	204.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_PRAC,AL	: 	: 	: 	: 	: 	: 	: 	: 	1618.00 	1603.00 	1542.00 	1610.00 	1595.00 	1570.00 	1627.00 	1628.00 	1593.00 	1590.00 	1623.00 	1573.00 	1518.00 	1512.00 	1526.00 	1555.00 	1557.00 	1600.00 	1953.00 	1720.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_PRAC,AT	6701.00 	6674.00 	6750.00 	: 	6637.00 	6668.00 	6609.00 	6614.00 	6523.00 	6550.00 	6534.00 	6507.00 	6481.00 	6389.00 	6351.00 	6341.00 	6266.00 	6230.00 	6121.00 	6000.00 	5871.00 	5794.00 	5709.00 	5683.00 	5531.00 	5412.00 	5291 b	5874.00 	5733.00 	5608.00 	5530.00 	5450.00 	5341.00 	5193.00 	5027.00 	: 	4925.00 
NR,GEN_PRAC,BE	: 	13697.00 	13425.00 	13178.00 	12992.00 	12929.00 	12693.00 	12560.00 	12483.00 	12363.00 	12290.00 	12228.00 	12286.00 	12273.00 	12336.00 	12415.00 	12405.00 	12412.00 	12394.00 	12346.00 	12303.00 	12261.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_PRAC,BG	: 	4015.00 	4119.00 	4199.00 	4277.00 	4344.00 	4428.00 	4481.00 	4534.00 	4592.00 	4677.00 	4708 b	4949.00 	4786.00 	4980.00 	5127.00 	5232.00 	5361.00 	5352.00 	5293.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_PRAC,CY	: 	: 	842.00 	912.00 	833.00 	786.00 	735.00 	680.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_PRAC,CZ	: 	7112 e	7330 be	: 	: 	: 	: 	: 	7371.00 	7386.00 	7369.00 	7369.00 	7366.00 	7332.00 	7320.00 	7404.00 	7423 b	: 	: 	: 	: 	7465 e	: 	: 	: 	: 	7175 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_PRAC,DE	: 	59848.00 	59673.00 	59157.00 	58642.00 	58011.00 	57721.00 	57360.00 	56962.00 	56740.00 	56902.00 	56831.00 	56479.00 	56711.00 	57711.00 	58147.00 	59550.00 	59623.00 	60038.00 	60192.00 	60238.00 	59024.00 	58056.00 	58603.00 	57747.00 	57368.00 	56348.00 	54980.00 	53445.00 	51474.00 	49794.00 	: 	: 	: 	: 	: 	: 
NR,GEN_PRAC,EE	: 	946.00 	961.00 	964.00 	937.00 	960.00 	946.00 	940.00 	932 b	855.00 	869.00 	857.00 	834.00 	833.00 	815.00 	820.00 	830.00 	819.00 	818.00 	796.00 	582.00 	440.00 	387.00 	319.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_PRAC,EL	: 	: 	3701.00 	3642.00 	3647.00 	3531.00 	3425.00 	3292 b	2561.00 	2383.00 	2226.00 	2076.00 	1941.00 	1869.00 	1704.00 	1564.00 	1589.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_PRAC,ES	: 	43302.00 	43131.00 	41727 b	35378.00 	34797.00 	34735.00 	34880.00 	35017.00 	35061.00 	34722.00 	34620.00 	33958.00 	33349.00 	31590.00 	32001.00 	31210.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_PRAC,FR	: 	57533.00 	58493.00 	58748.00 	59629.00 	59867.00 	60799.00 	61720.00 	62499.00 	62983.00 	64087.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_PRAC,HR	: 	2322.00 	2338.00 	2478.00 	2305.00 	2302.00 	2329.00 	2426.00 	2286.00 	2266.00 	2246.00 	2228.00 	2437 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN_PRAC,HU	: 	3754 b	4493.00 	4390.00 	4374.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
