n,id,cert/cot,cert/clr,cert/v,s,t,geo/0,geo/1
USLD CH D'OYONNAX,010789717,B,2,4,1,2,5.650452,46.255544
CH GUISE,020000089,B,2,4,1,2,3.640051,49.902845
CH LA FÈRE,020000097,B,2,4,1,2,3.360376,49.663239
CH LE NOUVION-EN-THIÉRACHE,020000105,B,2,4,1,2,3.7785165,50.0119344
CH SAINT-QUENTIN,020000162,B,2,4,1,3,3.269153,49.861845
CH VERVINS,020000246,B,2,4,1,2,3.902281,49.831923
HOPITAL VILLIERS SAINT DENIS,020000303,B,2,4,3,3,3.268217,48.998855
CLINIQUE COURLANCY SOISSONS,020000360,B,2,4,2,2,3.313265,49.3776382
CLINIQUE DE LA ROSERAIE,020000386,A,1,4,2,2,3.317233,49.375414
CH LAON,020000394,A,1,4,1,2,3.611204,49.562193
CH SOISSONS,020000519,B,2,4,1,3,3.335824,49.370913
CH CHAUNY,020000535,B,2,4,1,2,3.2352958,49.6267435
ETS PUB SANTÉ MENTALE DE L'AISNE,020000543,B,2,4,1,3,3.413934,49.540228
SSR JACQUES FICHEUX SAINT-GOBAIN,020000915,B,2,4,1,2,3.418099,49.59951
CH CHÂTEAU-THIERRY,020001061,B,2,4,1,2,3.409843,49.051114
CH HIRSON,020001087,B,2,4,1,2,4.073615,49.924701
UNITE DE DIALYSE DE CHAUNY,020001772,A,1,4,3,2,3.221738,49.618289
UNITE DE DIALYSE DE LAON,020001913,A,1,4,3,2,3.620531,49.551866
SSR CH LAON,020003877,A,1,4,1,2,3.597104,49.552618
CLINIQUE TEMPS DE VIE SAINT-QUENTIN,020004156,B,2,4,3,2,3.288038,49.850076
HAD AMSAM SOISSONS,020004297,B,2,4,3,2,3.3208669,49.3725307
USLD CH SOISSONS,020004677,B,2,4,1,2,3.330489,49.371755
USLD CH LAON,020005476,A,1,4,1,2,3.597104,49.552618
UNITE DIALYSE DE COURMELLES,020006441,A,1,4,3,1,3.329698,49.372728
CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN,020006664,B,2,4,1,2,3.266211,49.857602
USLD MSB BOHAIN-EN-VERMANDOIS,020009684,B,2,4,1,2,2.5280731999,49.663612699
HOPITAL PRIVE SAINT CLAUDE,020010047,B,2,4,2,2,3.1911159999,49.713413
SSR AURORE BUCY-LE-LONG,020010310,B,2,4,3,2,3.3924359999,49.390092
HAD CRF CHAUNY,020010898,B,2,4,3,2,3.2251066,49.6122088
UNITE DE DIALYSE DE SAINT-QUENTIN,020012860,A,1,4,3,2,3.265796,49.859016
HAD TEMPS DE VIE SAINT-QUENTIN,020014767,A,1,4,3,2,3.288038,49.850076
UNITE DE DIALYSE DE GUISE,020016242,A,1,4,3,2,3.6411691,49.9031473
SSR RENAISSANCE SOISSONS,020016341,B,2,4,3,2,3.3295648,49.3761796
CH DE NERIS LES BAINS,030000012,B,2,4,1,2,2.662449,46.28558
CH DE MOULINS,030000061,B,2,4,1,3,3.325264,46.570294
CH DE MONTLUCON,030000079,B,2,4,1,3,2.60863,46.342735
CH JACQUES LACARIN VICHY,030000087,B,2,4,1,3,3.434927,46.124934
CH DE BOURBON L'ARCHAMBAULT,030000095,A,1,4,1,2,3.0466903,46.5771794
CHS D'AINAY,030000160,B,2,4,1,2,2.693116,46.70358
CH DPT COEUR DU BOURBONNAIS TRONGET,030002208,B,2,4,1,2,3.066237,46.420539
UNITE DE DIALYSE DE MONTLUCON,030003669,A,1,4,3,2,2.582217,46.351688
UNITE DE DIALYSE DE MOULINS,030003719,A,1,4,3,2,3.325264,46.570294
UNITE DE DIALYSE DE VICHY,030003768,A,1,4,3,2,3.434312,46.127277
CH DPT COEUR BOURBONNAIS ST POURCAIN,030007942,,,,1,2,3.06796,46.422546
POLYCLINIQUE LA PERGOLA,030780548,B,2,4,2,2,3.414225,46.148065
HOPITAL PRIVE SAINT-FRANCOIS,030781116,B,2,4,2,2,2.619711,46.345249
SERVICE DE PSYCHIATRIE CHATELARD,030781637,B,2,4,1,2,2.697606,46.357486
POLYCLINIQUE SAINT-ODILON,030785430,B,2,4,2,2,3.3364509,46.5417101
EPS PIERRE GROUES DE BARCELONNETTE,040000036,B,2,4,1,2,6.649356,44.387999
EPS DUCELIA DE CASTELLANE,040000044,B,2,4,1,2,6.5083050727,43.846351063
CHI MANOSQUE SITE FORCALQUIER,040000069,B,2,4,1,2,5.77767,43.958945
CHI DE MANOSQUE LOUIS RAFFALLI,040000093,B,2,4,1,2,5.807583,43.827344
EPS LUMIERE DE RIEZ,040000119,A,1,4,1,2,6.092826,43.818064
EPS VALLEE DE LA BLANCHE SEYNE ALPES,040000127,B,2,4,1,1,6.3554914,44.3502742
CHI DES ALPES DU SUD SITE DE SISTERON,040000135,B,2,4,1,2,5.9441454,44.1932576
CENTRE HOSPITALIER DE DIGNE LES BAINS,040000911,B,2,4,1,3,6.178331,44.071475
HEMOD DES ALPES AUTODIALYSE SISTERON,040003113,B,2,4,2,1,5.9441454,44.1932576
CLINIQUE MEDICALE JEAN GIONO,040780389,A,1,4,2,2,5.786528,43.829732
CENTRE DES CARMES,040780405,B,2,4,2,2,6.149158,44.059027
CLINIQUE TOUTES AURES,040780470,A,1,4,2,2,5.781417,43.827083
CRF DE HAUTE PROVENCE L'EAU VIVE,040780488,B,2,4,2,2,6.170346,44.400124
KORIAN LE VERDON,040780520,A,1,4,2,2,5.897632,43.75785
CTRE SOINS DE SUITE READAPT LE COUSSON,040782021,B,2,4,3,2,6.215314,44.079534
CENTRE D'HEMODIALYSE DES ALPES,040784860,B,2,4,2,2,5.783172,43.833238
HEMOD DES ALPES AUTODIALYSE DE DIGNE,040787541,B,2,4,2,1,6.2359759999,44.092192999
CENTRE MEDICAL RHONE AZUR BRIANCON,050000041,A,1,4,3,2,6.6320198999,44.9055026
CENTRE MEDICAL SSR RIO VERT,050000058,A,1,4,3,2,6.004701,44.42397
CENTRE MEDICAL LA SOURCE,050000066,B,2,4,2,2,6.198257,44.643858
POLYCLINIQUE DES ALPES DU SUD GAP,050000090,B,2,4,2,2,6.0704686,44.5686977
CH BUECH DURANCE LARAGNE,050000132,B,2,4,1,2,5.819678,44.318607
CENTRE HOSPITALIER AIGUILLES QUEYRAS,050000223,A,1,4,1,1,6.8673019999,44.781026999
CH DES ESCARTONS DE BRIANCON,050000231,B,2,4,1,2,6.633977,44.906455
CENTRE HOSPITALIER D'EMBRUN,050000256,B,2,4,1,2,6.492745,44.561758
LA GUISANE,050000298,A,1,4,2,2,6.6414,44.88023
PSY GEN LE CHABRE LARAGNE,050000330,B,2,4,1,2,5.822992,44.315225
CHI DES ALPES DU SUD SITE DE GAP,050000348,B,2,4,1,3,6.0733261999,44.556971
LES JEUNES POUSSES,050000371,A,1,4,2,2,6.637938,44.897776
LE FUTUR ANTERIEUR,050000454,A,1,4,2,2,6.500244,44.580645
LES ACACIAS CTRE MALADIES RESP ALLERG,050000488,B,2,4,2,2,6.631697,44.908364
CLINIQUE MONTJOY,050000637,A,1,4,2,2,6.630124,44.911401
CENTRE MEDICAL CHANTOURS,050000991,A,1,4,3,2,6.6195861999,44.9188141
CENTRE MEDICAL LA DURANCE,050001064,A,1,4,3,2,6.065016,44.460535
CENTRE RHONE AZUR GAP,050002351,A,1,4,3,2,6.069093,44.567741
AGDUC UNITE DE DIALYSE MED BRIANCON,050003359,A,1,4,3,1,6.6329266,44.9064009
AGDUC UNITE D'AUTODIALYSE GAP,050006022,A,1,4,3,2,6.069004,44.559031
INSTITUT PAOLI CALMETTES RADIOTH GAP,050007533,A,1,4,3,1,6.0733261999,44.556971
CH SAINT MAUR SAINT ETIENNE TINEE,060000163,B,2,4,1,1,6.924465,44.256004
LA MAISON DU MINEUR,060000296,B,2,4,3,2,7.105792,43.73283
CENTRE HOSPITALIER DE BREIL SUR ROYA,060000304,A,1,4,1,2,7.514719,43.945559
CH DU PAYS DE LA ROUDOULE PUGET,060000411,B,2,4,1,2,6.897435,43.952852
CENTRE HOSPITALIER DE GRASSE,060000478,A,1,4,1,3,6.932252,43.620063
CH SAINT ELOI DE SOSPEL,060000486,A,1,4,1,2,7.451181,43.878275
CH SAINT LAZARE DE TENDE,060000494,B,2,4,1,1,7.572833,44.069458
CH D'ANTIBES JUAN LES PINS,060000510,B,2,4,1,3,7.123187,43.579976
CENTRE ANTOINE LACASSAGNE,060000528,A,1,4,3,2,7.2798361,43.7246497
CH DE CANNES SIMONE VEIL,060000544,B,2,4,1,3,7.005085,43.56183
USLD POLE SANTE VALLAURIS GOLFE JUAN,060000551,A,1,4,1,2,7.058949,43.579885
CENTRE JEAN CHANTON ROQUEBILLIERE,060001625,A,1,0,1,2,7.304806,44.012572
CH LA PALMOSA DE MENTON,060002102,B,2,4,1,2,7.473499,43.775721
L'OLIVERAIE DES CAYRONS,060005469,A,1,4,2,2,7.132049,43.70414
HAD ARNAULT TZANCK,060006558,A,1,4,3,2,7.187594,43.661589
CHU/ INSTITUT UNIVERSITAIRE FACE ET COU,060010899,,,,1,2,7.273405,43.720995
AGAHTIR UDM ANTIBES,060010949,B,2,4,3,2,7.123187,43.579976
LES AIRELLES,060015328,A,1,4,2,2,6.943482,43.644453
USLD DOLCE FARNIENTE,060019213,B,2,4,2,2,7.021538,43.568798
AGAHTIR AUTODIALYSE UDM GRASSE,060019676,A,1,4,3,2,6.917583,43.649797
CLINIQUE VILLA ROMAINE,060021094,A,1,4,2,2,7.2801429033,43.723533047
CENTRE DE CONVALESCENCE ATLANTIS,060021201,A,1,4,2,2,7.252974,43.702641
AGAHTIR CENTRE HEMODIALYSE ET UDM NICE,060021276,A,1,4,3,2,7.277891,43.733606
HOPITAL PRIVE CANNES OXFORD,060021417,A,1,4,2,,7.02776,43.564725
HOPITAL DE JOUR CERES,060023694,A,1,4,2,2,7.2537324,43.7208057
CLINIQUE SAINT DOMINIQUE,060780145,A,1,4,3,2,7.205143,43.664661
LES LAURIERS ROSES CHAINES DE VIE 06,060780186,A,1,4,3,2,7.229099,43.86061
CLINIQUE SAINTE BRIGITTE,060780277,A,1,4,2,2,6.916161,43.64761
E3S SAINT JEAN,060780343,A,1,4,2,2,7.148212,43.663645
KORIAN LES HELLENIDES,060780350,B,2,4,2,2,7.3422349999,43.8137619
POLE ANTIBES SAINT JEAN,060780392,A,1,4,2,2,7.112117,43.606013
CLINIQUE SAINT FRANCOIS,060780442,B,2,4,2,2,7.281914,43.722492
CLINIQUE ORSAC MONTFLEURI,060780459,A,1,4,3,2,6.916895,43.652559
INSTITUT ARNAULT TZANCK,060780491,A,1,4,3,2,7.185597,43.661512
POLYCLINIQUE SAINT JEAN,060780517,A,1,4,2,2,7.137103,43.661192
CLINIQUE LE VAL D'ESTREILLES,060780525,A,1,4,2,2,6.923857,43.594379
CLINIQUE LA GRANGEA,060780541,A,1,4,2,2,6.971357,43.578512
CLINIQUE FSEF VENCE,060780558,A,1,4,3,2,7.122922,43.717558
CLINIQUE DU PALAIS,060780590,B,2,4,2,2,6.929592,43.657388
CLINIQUE LE MERIDIEN,060780665,B,2,4,2,2,6.98781,43.550275
CLINIQUE SAINT GEORGE,060780715,A,1,4,2,3,7.277891,43.733606
CLINIQUE DU PARC IMPERIAL,060780723,B,2,4,2,2,7.2520528,43.7029982
CLINIQUE SAINT LUC,060780749,A,1,4,2,2,7.2807061672,43.723482649
POLYCLINIQUE SANTA MARIA,060780756,A,1,4,2,2,7.241161,43.689379
HOP PEDIATRIQUES DE NICE CHU LENVAL,060780947,A,1,4,3,2,7.241161,43.689379
CHS SAINTE MARIE NICE,060780996,B,2,4,3,3,7.2831,43.732783
CLINIQUE SAINT ANTOINE,060781200,A,1,4,2,2,7.262488,43.701953
INSTITUT POLYCLINIQUE DE CANNES,060781374,A,1,4,2,2,7.02776,43.564725
CLINIQUE DE LA COSTIERE,060781929,A,1,4,2,2,7.228066,43.716021
CHU/ CHU DE NICE HOPITAL PASTEUR,060785003,B,2,4,1,3,7.2722946,43.7209142
HAD NICE & REGION,060785243,B,2,4,3,2,7.2113604999,43.6877482
CHU/ CHU DE NICE HOPITAL DE CIMIEZ,060788957,B,2,4,1,3,7.2733676433,43.721365891
CHU/ CHU DE NICE HOPITAL DE L'ARCHET,060789195,B,2,4,1,3,7.2258785,43.6972597
CENTRE HELIO MARIN,060789674,B,2,4,3,2,7.035797,43.578405
CHU/ CHU DE NICE CTRE CONVALESCENCE TENDE,060790177,B,2,4,1,2,7.5944207,44.0884757
CHU/ CHU DE NICE CTRE CONSULT TRAIT DENT,060790573,B,2,4,1,,7.2722946,43.7209142
CH DE GRASSE CENTRE DE LONG SEJOUR,060790680,A,1,4,1,2,6.917583,43.649797
C.A.L.M.E.,060790862,A,1,4,2,2,6.8728344999,43.655885
CLINIQUE DE L'ESTAGNOL,060791746,A,1,4,2,2,7.1090129,43.5870757
HOPITAL PRIVE GERIATRIQUE LES SOURCES,060791811,A,1,4,3,2,7.278358,43.739711
CTRE D'HEMODIALYSE INST ARNAULT TZANCK,060791860,A,1,4,3,2,7.1421029,43.660811
AGAHTIR DIALYSE A DOMICILE NICE,060792090,A,1,4,3,1,7.28769,43.740126
AGAHTIR AUTODIALYSE NICE,060792736,A,1,4,3,2,7.2848946999,43.7047076
AUTODIAL INST ARNAULT TZANCK MOUGINS,060792900,A,1,4,3,1,7.010315,43.607837
CENTRE D'HEMDIALYSE DE LA RIVIERA,060792926,B,2,4,2,2,7.120061,43.601103
CTRE CARDIO MEDICO CHIRURGICAL TZANCK,060794013,A,1,4,3,2,7.185597,43.661512
SSR ISOLA BELLA CH CANNES,060794021,B,2,4,1,2,7.005085,43.56183
MAISON DE CONVALESCENCE LA SERENA,060798881,A,1,4,2,2,7.277991,43.733712
HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS,060800166,A,1,4,2,2,7.016147,43.612461
UNITE DE DIETETIQUE SOMEDI,060800182,A,1,4,2,2,6.934003,43.574965
AGAHTIR AUTODIALYSE MANDELIEU,060801016,A,1,4,3,1,6.932081,43.534205
CH DE PRIVAS ARDECHE,070000013,E,5,4,1,2,4.587285,44.731769
CH DE JOYEUSE,070000021,B,2,4,1,2,4.239507,44.47908
CH DE VALLON PONT D'ARC,070000039,A,1,4,1,2,4.394451,44.406179
CH DE VILLENEUVE DE BERG,070000047,B,2,4,1,2,4.500584,44.557371
CH DE BOURG SAINT ANDEOL,070000062,A,1,4,1,2,4.64724,44.37573
CH DU CHEYLARD,070000070,B,2,4,1,2,4.420819,44.904077
HOPITAL DE MOZE,070000096,A,1,4,3,2,4.3989037,45.0089289
CH LEOPOLD OLLIER,070000112,A,1,4,1,2,4.132843,44.406024
CH DE LARGENTIERE,070000146,A,1,4,1,2,4.290741,44.542886
CH ARDECHE NORD,070000179,B,2,4,1,3,4.665658,45.242167
CH DE LAMASTRE,070000187,A,1,4,1,2,4.57889,44.988996
CH DE TOURNON SUR RHONE,070000195,B,2,4,1,2,4.854038,45.055737
CH DE SAINT FELICIEN,070000203,A,1,4,1,2,4.627714,45.087176
SITE P. RIBEYRE CH ARDECHE MERIDIONALE,070000484,B,2,4,1,2,4.369008,44.656173
SITE B. HUGO CH ARDECHE MERIDIONALE,070000609,B,2,4,1,2,4.398267,44.612929
AGDUC CENTRE DE DIALYSE AUBENAS,070004726,A,1,4,3,2,4.398458,44.613852
SSR L.ROUVEYROL CH ARDECHE MERIDIONALE,070006804,,,,1,2,4.401251,44.615278
CLINIQUE DU VIVARAIS SAINT DOMINIQUE,070780168,B,2,4,2,2,4.390246,44.611231
SSR FILIERIS DES VANS,070780226,B,2,4,3,2,4.131976,44.405222
CENTRE SSR LE CHATEAU,070780234,B,2,4,3,2,4.806523,44.859714
MAISON DE CONVALESCENCE CONDAMINE,070780242,B,2,4,2,2,4.21995,44.674657
CHS SAINTE-MARIE PRIVAS,070780317,B,2,4,3,3,4.593752,44.732965
CH DE SERRIERES,070780390,A,1,4,1,2,4.7630622,45.3203336
CLINIQUE PASTEUR,070780424,A,1,4,2,2,4.883051,44.934242
MAISON DE CURE DU MONTOULON,070783824,E,5,4,1,2,4.5990389999,44.735269
LONG SEJOUR CH DE PRIVAS,070784517,E,5,4,1,2,4.591851,44.73504
CENTRE DE POST-CURE CROIX BLEUE VIRAC,070784897,A,1,4,3,2,4.3980679999,44.364439
AURAL UNITE DIALYSE CH AUBENAS,070786231,B,2,4,3,1,4.390326,44.619744
AURAL UNITE DIALYSE CH ANNONAY,070786249,B,2,4,3,1,4.66566,45.242392
CLINIQUE JOSEPH CHIRON,070786355,B,2,4,3,,4.664044,45.243858
CENTRE HOSPITALIER DE SEDAN,080000110,B,2,4,1,2,4.940394,49.70521
CLINIQUE DE LA POINTE,080000136,B,2,4,2,2,4.636211,49.943573
CENTRE HOSPITALIER DE RETHEL,080000219,B,2,4,1,2,4.363306,49.510648
CRF POUR ADULTES,080000250,B,2,4,3,2,4.699621,49.763705
SOINS DE SUITE SAINT JULIEN,080000268,B,2,4,3,2,4.701712,49.765604
CENTRE HOSPITALIER DE VOUZIERS,080000276,B,2,4,1,2,4.702298,49.395212
CENTRE HOSPITALIER DE FUMAY,080000284,B,2,4,1,2,4.7108404,49.9901999
CENTRE HOSPITALIER DE NOUZONVILLE,080000300,B,2,4,1,2,4.747356,49.814945
CENTRE HOSPITALIER BELAIR,080000318,B,2,4,1,2,4.723211,49.789053
CH CHARLEVILLE - HOPITAL MANCHESTER,080000425,B,2,4,1,3,4.695118,49.761685
CRF POUR ENFANTS DE WARNECOURT,080002140,B,2,4,3,2,4.649963,49.732753
UNITE D AUTODIALYSE DE BAZEILLES,080005846,A,1,4,3,1,4.941264,49.702725
USLD SITE CENTRE DE SANTE,080005960,B,2,4,1,2,4.68629,49.767263
GCS TERRIT ARDEN NORD SITE CH SEDAN,080010465,B,2,4,3,1,4.9394912999,49.7053278
GCS TERRIT ARDEN NORD SITE CH CHARLEVI,080010473,B,2,4,3,2,4.7008323,49.7616394
CLINIQUE DU PARC,080010523,B,2,4,2,2,4.7225948999,49.768487099
CH SAINT LOUIS,090000019,A,1,4,1,2,1.839427,42.719994
CHIVAL SITE ST JEAN DE VERGES,090000175,B,2,4,1,3,1.607012,42.965389
CH ARIEGE COUSERANS SITE ST LIZIER,090000183,B,2,4,1,2,1.145916,42.984847
CHIVAL SITE LAVELANET,090001629,B,2,4,1,2,1.856195,42.930398
AAIR UAD UDM PAMIERS,090002833,B,2,4,3,2,1.614785,43.115782
AAIR UAD LAVELANET,090784125,B,2,4,3,1,1.854416,42.940313
AAIR UAD ST LIZIER,090784679,B,2,4,3,1,1.127379,42.999715
CLINIQUE DU PAYS DE SEINE,100000082,B,2,4,2,2,3.717461,48.517023
CENTRE HOSPITALIER DE TROYES,100000090,B,2,4,1,3,4.068809,48.279896
EPSMA,100000108,B,2,4,1,2,4.523602,48.393108
CENTRE HOSPITALIER DE BAR SUR AUBE,100000116,B,2,4,1,2,4.715152,48.232049
POLYCLINIQUE MONTIER LA CELLE,100000124,B,2,4,2,2,4.056472,48.284821
CENTRE HOSPITALIER DE BAR-SUR-SEINE,100000140,B,2,4,1,2,4.372295,48.120992
CENTRE HOSPITALIER DE ROMILLY/SEINE,100000199,B,2,4,1,2,3.723707,48.514891
HOPITAL LOCAL DE NOGENT-SUR-SEINE,100000801,B,2,4,1,1,3.502406,48.49336
UNITE D'AUTO-DIALYSE DE ROMILLY,100005958,A,1,4,3,1,3.719995,48.511414
SECTION MOYEN SEJOUR - CH DE TROYES,100006493,B,2,4,1,2,4.068809,48.279896
UNITE DE DIALYSE DE ROSIERES PRES TROY,100006550,A,1,4,3,2,4.071784,48.260308
INSTITUT ASCLEPIADE,100007285,B,2,4,2,2,-0.383689,49.1931202
HAD GHAM,100007699,B,2,4,1,2,3.723707,48.514891
MCO COMTE HENRI - CH DE TROYES,100009364,B,2,4,1,2,4.071307,48.277344
UNITE D'ALCOOLOGIE JEAN SCHIFFER,100009380,B,2,4,1,2,4.110431,48.319598
UNITE D'HOSP DE PEDO PSYCH CH TROYES,100009968,B,2,4,1,,4.0688439,48.278964599
GCS PATCS CRRF PASTEUR 1,100010362,B,2,4,3,2,4.0614195,48.3035527
CLINIQUE KORIAN,100010545,,,,2,2,4.0381458,48.2779246
GCS PATCS - HAD - SSR - TROYES,100010578,B,2,4,3,2,4.0688439,48.278964599
GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ,100010818,B,2,4,3,2,4.0526943,48.3060905
CH CARCASSONNE,110000023,B,2,4,1,3,2.335391,43.191998
CH JEAN PIERRE CASSABEL,110000049,B,2,4,1,2,1.961411,43.315334
CH NARBONNE HOTEL DIEU,110000056,A,1,4,1,3,3.001334,43.180449
CH LIMOUX QUILLAN SITE DE LIMOUX,110000189,A,1,4,1,2,2.220027,43.05478
CH LEZIGNAN CORBIERES,110000247,A,1,4,1,2,2.757635,43.196456
CH FRANCIS VALS,110000262,B,2,4,1,2,3.044297,43.005412
CL LES OLIVIERS,110002946,B,2,4,3,,2.757649,43.196831
CL DU SUD,110003118,A,1,4,2,2,2.3919725418,43.220126439
CL VERDEAU PAILLES PSY GEN ET PIJ,110004397,B,2,4,3,,2.302285,43.19548
AIDER SANTE UAD NARBONNE,110004413,A,1,4,3,1,2.997351,43.188166
AIDER SANTE UAD LIMOUX QUILLAN,110004421,A,1,4,3,1,2.219643,43.055554
AIDER SANTE UAD TREBES,110004439,A,1,4,3,,2.445174,43.201992
SSR LES QUATRE FONTAINES KORIAN,110004942,A,1,4,2,2,2.966503,43.158964
HAD HOPITAL PRIVE DU GRAND NARBONNE,110005048,A,1,4,2,2,3.010984,43.178702
SSR GERIATRIE CH NARBONNE,110005246,A,1,4,1,2,3.2583626,43.5912356
CLINIQUE VIA DOMITIA PSY GENERALE ASM,110005279,B,2,4,3,,2.96561,43.158933
AIDER SANTE UDM CH CARCASSONNE,110005311,A,1,4,3,2,2.351438,43.21578
HAD KORIAN PAYS DES QUATRE VENTS,110005394,A,1,4,2,2,2.335391,43.191998
USLD LES RIVES D'ODE,110006137,B,2,4,1,2,2.3252709999,43.203605
UDM HOPITAL PRIVE DU GRAND NARBONNE,110007259,A,1,4,2,2,3.0110643,43.178675899
SSR CENTRE DE LORDAT,110007630,A,1,4,3,2,5.292936,43.902293
CLINIQUE DE MIREMONT,110780152,A,1,4,2,2,2.51287,43.217495
CL SSR CHRISTINA,110780194,A,1,4,2,2,2.011298,42.98666
CL KORIAN LA VERNEDE,110780202,A,1,4,2,2,2.404279,43.264879
HOPITAL PRIVE DU GRAND NARBONNE,110780228,A,1,4,2,2,3.024138,43.18408
CH LIMOUX QUILLAN SITE DE QUILLAN,110780236,A,1,4,1,2,2.185645,42.882135
POLYCL MONTREAL,110780483,A,1,4,2,2,2.286448,43.227369
USLD PECH D'ALCY CH NARBONNE LA COUPE,110781283,A,1,4,1,2,3.00067,43.184265
CENTRE READAPT POST CURE LEON CASSAN,110785383,B,2,4,3,,2.223178,43.047631
CL ARAGOU LES TILLEULS,110785516,B,2,4,3,,2.221427,43.05444
SSR LIMOUX ARAGOU LES TILLEULS,110786746,B,2,4,3,2,2.221427,43.05444
CH DE RODEZ HOPITAL JACQUES PUEL,120000039,B,2,4,1,3,2.7253369999,44.521434
CH VILLEFRANCHE SITE CHARTREUSE,120000054,A,1,4,1,2,2.032386,44.344648
CH PIERRE DELPECH DECAZEVILLE,120000070,B,2,4,1,2,2.251862,44.569123
CH ETIENNE RIVIE ST GENIEZ D'OLT,120000088,A,1,4,1,2,2.974539,44.466688
CHI ESPALION ST LAURENT D'OLT,120000096,B,2,4,1,2,2.76318,44.525491
CH MAURICE FENAILLE SEVERAC LE CHATEAU,120000153,B,2,4,1,2,3.063973,44.250624
CHI VALLON SALLES LA SOURCE,120000237,B,2,4,1,2,2.472819,44.452357
AIDER SANTE UAD UDM MILLAU,120001748,A,1,4,3,2,3.83143,43.648033
CH MILLAU,120004569,A,1,4,1,2,3.051907,44.092949
CH EMILE BOREL ST AFFRIQUE,120004668,B,2,4,1,2,2.89963,43.952342
CL STE MARIE BOURRAN RODEZ,120004759,B,2,4,3,,2.557775,44.360674
CL STE MARIE VILLEFRANCHE ROUERGUE,120004809,B,2,4,3,,2.0324815,44.3398275
AAIR UAD RODEZ,120005228,B,2,4,3,2,2.557065,44.358
SSR SITE STE ANNE CH MILLAU,120007554,,,,1,2,3.051907,44.092949
SSR CH VILLEFRANCHE SITE RULHE,120008248,,,,1,2,2.032386,44.344648
CENTRE SSR LA CLAUZE,120780135,A,1,4,3,2,2.503263,44.031088
CSSR LES TILLEULS CEIGNAC,120780143,A,1,4,3,2,2.5233038,44.2718516
CHS STE MARIE,120780283,B,2,4,3,2,2.574285,44.349952
USLD CH VILLEFRANCHE SITE RULHE,120782263,A,1,4,1,2,2.029593,44.383187
USLD CH MILLAU,120783097,A,1,4,1,2,3.0755778999,44.1027051
